method,image,text,vdrop,vincr,tdrop,tincr
libragrad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/24701-nature-natural-beauty.jpg/1280px-24701-nature-natural-beauty.jpg,a mountain landscape with snow,1.902008056640625,0.0,2.35748291015625,0.0
libragrad,images/cat.jpg,a cat sitting,1.4080047607421875,0.0,0.2349853515625,0.0
libragrad,images/mountain.jpg,a mountain landscape,0.794219970703125,0.0,2.079010009765625,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,0.84228515625,0.0,1.934814453125,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.0,100.0,0.87890625,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2237548828125,0.0
libragrad,images/cat.jpg,a cat sitting,4.06036376953125,0.0,0.2349853515625,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.0,100.0,0.87890625,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2237548828125,0.0
libragrad,images/mountain.jpg,a mountain landscape,1.7057061195373535,0.0,2.079010009765625,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,6.502532958984375,0.0,1.934814453125,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,6.502532958984375,0.0,1.934814453125,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.0,100.0,0.87890625,0.0
libragrad,images/cat.jpg,a cat sitting,4.06036376953125,0.0,0.2349853515625,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2237548828125,0.0
libragrad,images/mountain.jpg,a mountain landscape,1.7057061195373535,0.0,2.079010009765625,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.0,100.0,0.87890625,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,6.5093994140625,0.0,1.934814453125,0.0
libragrad,images/cat.jpg,a cat sitting,4.0435791015625,0.0,0.2349853515625,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2237548828125,0.0
libragrad,images/mountain.jpg,a mountain landscape,1.7035722732543945,0.0,2.079010009765625,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,0.0,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.2934478223323822,0.0,0.0,0.0
libragrad,images/cat.jpg,a cat sitting,2.778990939259529,0.0,0.0,0.0
libragrad,images/mountain.jpg,a mountain landscape,1.5862040221691132,0.0,0.0,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,2.95383483171463,0.0,0.0,0.0
m2ib,images/flower.jpg,a sunflower in a field,0.0,100.0,1.0158784687519073,0.0
m2ib,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,1.4467611908912659,0.0,1.629592478275299,0.0
m2ib,images/mountain.jpg,a mountain landscape,0.7850253954529762,0.0,2.0996104925870895,0.0
m2ib,images/bird.jpg,an ant insect on a surface,0.08629001677036285,0.0,0.0058669596910476685,0.0
m2ib,images/cat.jpg,a cat sitting,1.6066089272499084,0.0,0.10080002248287201,0.0
lciba_full,images/bird.jpg,an ant insect on a surface,0.47103557735681534,0.0,0.8839752525091171,0.0
lciba_full,images/mountain.jpg,a mountain landscape,3.0354103073477745,0.0,2.0781835541129112,0.0
lciba_full,images/cat.jpg,a cat sitting,3.2021276652812958,0.0,0.23965314030647278,0.0
lciba_full,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,8.949288725852966,0.0,1.9359875470399857,0.0
lciba_full,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2304771691560745,0.0
m2ib,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,1.7573751509189606,0.0,1.629592478275299,0.0
lciba,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,8.949288725852966,0.0,1.9359875470399857,0.0
libragrad,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,2.95383483171463,0.0,0.0,0.0
fusion,/media/crk/vol3/VLAT/examples/image0.jpg,a visual question answering example,5.182034522294998,0.0,0.0,0.0
m2ib,images/cat.jpg,a cat sitting,1.6964063048362732,0.0,0.10080002248287201,0.0
lciba,images/cat.jpg,a cat sitting,3.2021276652812958,0.0,0.23965314030647278,0.0
libragrad,images/cat.jpg,a cat sitting,2.778990939259529,0.0,0.0,0.0
fusion,images/cat.jpg,a cat sitting,3.199794888496399,0.0,0.0,0.0
m2ib,images/bird.jpg,an ant insect on a surface,0.05283653736114502,0.0,0.03204941749572754,0.0
